Index,Artist Name,Gender,Primary Genre,Birthday,Year Debut Studio Album Released,Debut Album,Debut Album First Week Sales,Age At The Time of First Released Album,Earliest Monthly Listeners,Monthly Listeners 3 Years Later or Latest,Percent Increase In Monthly Listeners,Billboard 100 Entries Within 3 Years of Debut Album,Average Number of Days Between Release Dates,RIAA Certifications Within 3 Years of Debut Album,Most Streamed Song Within 3 Years of Debut Album,Most Streamed Song Within 3 Years of Debut Album Number of Streams,ChatGPT Lyric Rating,ChatGPT Language and Wordplay Rating,ChatGPT Originality and Uniqueness Rating,ChatGPT Memorability Rating,ChatGPT Score,ChatGPT High Achievement Score Prediction,Grok Lyric Rating,Grok Language and Wordplay Rating,Grok Originality and Uniqueness Rating,Grok Memorability Rating,Grok Score,Grok High Achievement Score Prediction,Total RIAA Certifications,Total Billboard 100 Entries,Total Spotify Monthly Listeners,Total Spotify Streams,Total Spotify Playlists Appearances,Total YouTube Views,Achievement Score
11,Comethazine,Male,Hip-Hop/Rap,6-Jul-1998,2020,Pandemic,"4,000",21,"4,051,041","3,036,373",-25.05,3,357,2,Spinback,"34,866,832",2.0,2.0,2.0,3.0,9.0,0,3,2,2,2,9,0,3,6,"2,093,172","1,440,888,100","5,952","195,105,053",3.51239466167582
12,Tee Grizzley,Male,Hip-Hop/Rap,23-Mar-1994,2018,Activated,"27,000",24,"4,989,669","4,453,587",-10.74,0,211,7,Satish,"56,119,275",4.0,3.0,4.0,5.0,16.0,1,4.5,4,4.5,4,17,1,8,2,"7,247,381","2,688,896,862","11,200","1,183,769,708",7.22395657690935
13,Megan Thee Stallion,Female,Hip-Hop/Rap,15-Feb-1995,2020,Good News,"100,500",25,"3,692,856","32,071,236",768.47,27,396,20,Savage,"418,503,053",4.0,4.0,4.0,5.0,17.0,1,4,3,3,4,14,1,22,32,"30,643,577","8,764,712,929","39,800","2,366,638,785",27.1029119998801
14,YBN Nahmir,Male,Hip-Hop/Rap,18-Dec-1999,2021,Visionland,"4,000",21,"3,590,310","4,601,404",28.16,3,665,3,Opp Stoppa,"115,500,616",3.0,2.0,2.0,3.0,10.0,0,3,2,2,2,9,0,4,3,"3,822,032","1,784,388,227","10,600","242,247,728",4.46585549847094
15,Almighty Jay,Male,Hip-Hop/Rap,6-Aug-1998,2021,Battling My Spirit,"4,000",22,"837,279","665,529",-20.51,0,"1,085",0,Bring Out The Hoochies,"3,462,412",2.0,2.0,2.0,2.0,8.0,0,3,2,2,3,10,0,1,0,"536,747","293,641,871","2,980","53,788,244",0.892095144989189
16,Cordae,Male,Hip-Hop/Rap,26-Aug-1997,2019,The Lost Boy,"25,554",21,"5,957,121","5,653,695",-5.09,0,836,5,Have Mercy,"125,998,348",4.0,4.0,3.0,4.0,15.0,1,4,4,3,4,15,1,5,3,"6,988,482","1,927,775,990","14,000","216,152,374",5.89526490100511
17,Young M.A,Female,Hip-Hop/Rap,3-Apr-1992,2019,Herstory In the Making,"22,219",27,"4,312,748","2,385,232",-44.69,1,623,3,BIG,"134,318,137",3.0,2.0,2.0,3.0,10.0,1,3,3,3,3,12,0,3,2,"2,344,796","1,103,910,885","9,109","1,451,114,420",4.24439807180832
18,City Girls,Female,Hip-Hop/Rap,11-Feb-1994,2018,Girl Code,"31,000",24,"4,463,068","6,187,251",38.63,5,641,3,Act Up,"280,203,834",3.5,3.5,3.0,4.0,14.0,1,4,4,3,4,15,1,5,6,"4,276,049","2,011,007,669","16,100","773,108,137",6.43892622599391
19,MadeinTYO,Male,Hip-Hop/Rap,12-Apr-1992,2018,"Sincerely, Tokyo","4,000",26,"4,316,974","3,587,276",-16.90,2,324,4,Chucky Cheese,"89,114,138",2.5,2.0,2.0,2.5,9.0,0,3,2,2,2,9,0,5,3,"2,760,864","1,963,848,115","15,900","100,682,185",5.08982389217401
20,G Herbo,Male,Hip-Hop/Rap,8-Oct-1995,2017,Humble Beast,"20,000",21,"2,469,513","6,488,519",162.74,1,234,1,Swervo,"21,475,050",3.0,3.0,2.0,3.0,11.0,1,4,3,3,4,14,1,2,6,"6,537,895","2,487,661,379","14,500","1,148,507,707",6.49189547935271
21,Cardi B,Female,Hip-Hop/Rap,11-Oct-1992,2018,Invasion of Privacy,"255,000",25,"31,716,897","29,981,028",-5.47,36,"2,149",23,Bodak Yellow,"876,156,887",4.0,3.5,3.5,4.5,15.5,1,4,3,3,4,14,1,25,46,"28,145,319","17,878,447,626","72,100","7,009,706,846",40.3363056340546
22,Lil Pump,Male,Hip-Hop/Rap,17-Aug-2000,2017,Lil Pump,"45,000",17,"23,962,623","7,881,798",-67.11,9,466,10,Gucci Gang,"644,332,805",1.0,1.0,1.0,2.0,5.0,0,2,2,2,3,9,0,10,9,"7,217,238","4,932,698,830","22,400","4,554,978,601",13.5868371211267
23,Aminé,Male,Hip-Hop/Rap,18-Apr-1994,2017,Good For You,"13,000",23,"10,241,212","9,306,444",-9.13,0,343,3,Caroline,"746,471,541",2.0,3.0,3.0,4.0,12.0,1,3.5,3,2.5,3,12,0,6,0,"8,330,175","3,399,426,248","21,000","566,204,573",7.70772142090542
24,21 Savage,Male,Hip-Hop/Rap,22-Oct-1992,2017,Issa Album,"77,000",24,"23,724,066","26,426,448",11.39,45,242,9,Bank Account,"1,121,058,591",2.0,2.0,2.0,3.0,9.0,1,3.5,3,2,2.5,11,0,33,103,"65,500,427","27,281,428,386","62,400","4,207,470,048",59.1499640914345
25,Kodak Black,Male,Hip-Hop/Rap,11-Jun-1997,2017,Painting Pictures,"71,000",19,"24,913,434","24,041,798",-3.50,23,210,14,Tunnel Vision,"633,484,685",2.0,2.0,2.0,3.0,9.0,1,3,3,3,3,12,1,22,42,"29,033,893","12,852,210,377","40,800","5,803,066,763",32.4955796326859
26,Desiigner,Male,Hip-Hop/Rap,3-May-1997,2016,New English,"16,000",19,"6,214,507","5,847,269",-5.91,4,"1,399",2,Panda,"1,162,995,648",2.0,2.0,2.0,3.0,9.0,1,2,2,1,3,8,0,2,4,"4,709,417","2,719,320,410","21,000","2,306,264,260",7.59103042998188
27,KYLE,Male,Hip-Hop/Rap,18-May-1993,2018,Light of Mine,"17,000",25,"8,498,476","7,663,763",-9.82,0,907,4,What It Is,"31,271,451",3.0,3.0,3.0,3.0,12.0,1,3,3,2,3,11,0,8,1,"4,567,271","2,843,144,541","15,000","848,420,212",6.73899652528881
28,Ski Mask The Slump God,Male,Hip-Hop/Rap,18-Apr-1996,2018,Stokeley,"51,000",22,"10,416,427","9,923,271",-4.73,5,553,7,Faucet Failure,"552,756,593",4.0,3.0,4.0,4.0,15.0,1,4,4,3,4,15,1,8,5,"9,704,505","5,531,198,382","17,200","699,601,410",9.64445631309502
29,Roddy Ricch,Male,Hip-Hop/Rap,22-Oct-1998,2019,Please Excuse Me for Being Antisocial,"101,000",21,"6,130,558","19,954,497",225.49,24,513,18,The Box,"1,825,030,310",2.0,2.0,2.0,2.0,8.0,1,4,4,4,4,16,1,19,25,"21,804,270","11,055,862,503","41,200","2,519,044,593",24.4710759931463
30,DaBaby,Male,Hip-Hop/Rap,22-Dec-1991,2019,Baby on Baby,"17,000",27,"3,543,140","36,129,926",919.71,53,239,27,BOP,"794,435,251",4.0,3.5,3.5,4.0,15.0,1,3,2,2,3,10,0,27,54,"27,882,924","16,800,893,212","56,500","3,896,160,188",37.1319228276521
31,YK Osiris,Male,Hip-Hop/Rap,7-Aug-1998,2019,The Golden Child,"4,000",21,"4,519,742","1,686,619",-62.68,2,"1,596",3,Worth It,"327,291,727",3.5,3.0,3.0,3.5,13.0,1,4,3,3,4,14,1,3,2,"2,066,707","664,423,778","5,584","489,627,414",2.82458280914596
32,YN Jay,Male,Hip-Hop/Rap,23-Jul-1999,2021,Ninja Warrior,"4,000",21,"120,106","1,647,867","1,272.01",0,94,0,Perc & Sex,"20,482,839",3.0,3.0,2.5,3.0,11.5,0,3,4,2,3,12,0,0,0,"691,769","191,433,658","1,554","181,829,171",0.566441299326889
33,Bhad Bhabie,Female,Hip-Hop/Rap,26-Mar-2003,2018,15,"4,000",15,"4,415,013","2,915,865",-33.96,1,"1,984",4,Hi Bich,"122,550,911",2.0,2.5,2.0,2.5,9.0,0,3,2,2,3,10,0,4,3,"2,754,953","977,717,352","6,171","1,111,610,806",4.04566868499513
34,Lil Tjay,Male,Hip-Hop/Rap,30-Apr-2001,2019,True 2 Myself,"45,000",18,"11,451,168","17,247,359",50.62,14,399,16,F.N,"702,362,098",4.0,3.5,3.5,4.0,15.0,1,4,3,3,4,14,1,23,15,"15,529,734","9,557,935,830","27,100","2,157,189,856",19.9516681667347
35,Post Malone,Male,Hip-Hop/Rap,4-Jul-1995,2016,Stoney,"58,000",21,"49,743,584","47,017,481",-5.48,44,329,14,Circles,"2,365,732,309",4.0,3.5,3.5,4.0,15.0,1,4,3,3,4,14,1,48,75,"59,898,058","40,780,550,574","79,400","12,810,569,908",71.2898917934592
36,Tay-K,Male,Hip-Hop/Rap,16-Jun-2000,2017,Santana World,"4,000",17,"2,224,643","4,035,019",81.38,1,"2,263",1,The Race,"372,951,739",3.0,3.0,2.0,3.0,11.0,0,4,4,3,4,15,1,1,1,"4,229,636","1,264,720,955","6,266","22,248,699",2.62888809423649
37,Smokepurpp,Male,Hip-Hop/Rap,15-May-1997,2019,Deadstar 2,"5,000",22,"4,253,856","2,906,422",-31.68,1,767,3,Audi II,"13,710,998",2.0,2.0,2.0,3.0,9.0,0,2,1,1,2,6,0,3,1,"1,223,885","1,691,311,620","12,200","256,723,359",3.51585589351737
38,NAV,Male,Hip-Hop/Rap,3-Nov-1989,2018,Reckless,"36,000",28,"6,671,508","7,690,508",15.27,10,255,11,Freshman List,"77,176,002",3.0,3.0,2.0,3.0,11.0,1,3,2,2,2,9,0,12,13,"13,130,176","7,499,457,086","27,600","874,195,732",14.7338390983181
39,Matt OX,Male,Hip-Hop/Rap,13-Dec-2004,2018,Ox,"4,000",13,"998,791","619,666",-37.96,0,388,0,Ya Dig,"3,982,286",2.0,2.0,2.0,3.0,9.0,1,3,2,2,2,9,0,0,0,"673,567","335,862,986","3,323","36,803,418",0.724986575701442
40,Lil Xan,Male,Hip-Hop/Rap,6-Sep-1996,2018,Total Xanarchy,"28,000",21,"5,965,771","3,175,275",-46.78,0,"2,150",1,Betrayed,"594,795,359",3.0,3.0,2.0,3.0,11.0,1,4,4,4,4,16,1,2,0,"1,685,646","1,511,277,523","7,493","849,913,861",3.03674705603844
41,Doja Cat,Female,Hip-Hop/Rap,21-Oct-1995,2018,Amala,"5,000",22,"3,106,124","57,472,173","1,750.29",18,359,10,Woman,"1,504,758,254",4.0,4.0,4.0,4.0,16.0,1,4,4,3,4,15,1,28,26,"65,519,598","20,780,007,761","61,800","5,629,330,396",45.4183975683904
42,Lil Baby,Male,Hip-Hop/Rap,3-Dec-1994,2018,Harder Than Ever,"71,000",23,"15,828,243","29,362,889",85.51,93,301,40,Pure Cocaine,"597,605,608",3.0,3.0,2.0,3.0,11.0,1,4,3,3,4,14,1,98,138,"31,032,844","25,488,439,417","56,500","6,945,115,536",72.9195540936669
43,BlocBoy JB,Male,Hip-Hop/Rap,19-May-1996,2020,FatBoy,"4,000",24,"9,288,912","3,662,107",-60.58,0,616,0,Swervin,"3,162,739",2.0,2.0,2.0,2.0,8.0,0,4,4,3,4,15,1,1,1,"2,624,690","1,563,694,023","11,700","614,410,148",3.51804943314711
44,Teejayx6,Male,Hip-Hop/Rap,28-Aug-2001,2019,Under Pressure,"4,000",17,"145,530","87,700",-39.74,0,286,0,DarkWeb,"4,421,491",2.0,2.0,2.0,2.0,8.0,0,3,4,4,4,15,1,0,0,"61,090","191,433,658",426,"42,972,992",0.171596821664239
45,Lil Tecca,Male,Hip-Hop/Rap,26-Aug-2002,2020,Virgo World,"35,000",18,"23,794,536","14,261,357",-40.06,6,250,3,Our Time,"285,445,665",4.0,3.0,3.0,4.0,14.0,1,3,2,2,2,9,0,8,12,"23,691,189","6,796,412,413","20,200","1,134,523,611",15.0437588157
46,A Boogie Wit da Hoodie,Male,Hip-Hop/Rap,6-Dec-1995,2017,The Bigger Artist,"67,000",21,"21,394,556","17,194,781",-19.63,29,292,22,Look Back at It,"716,810,467",3.5,3.0,2.5,4.0,13.0,1,3,3,2,3,11,0,38,35,"18,044,876","13,479,150,600","41,900","2,413,878,892",30.5912332316592
47,Youngboy Never Broke Again,Male,Hip-Hop/Rap,20-Oct-1999,2018,Unit Death Call My Name,"43,000",18,"5,932,507","16,330,919",175.28,63,63,50,Make No Sense,"380,336,945",3.5,3.0,2.5,3.5,12.5,1,4,3,3,4,14,1,123,104,"18,348,200","12,988,048,501","25,300","12,325,687,890",66.8582764199022
48,Gunna,Male,Hip-Hop/Rap,14-Jun-1993,2019,Drip or Drown 2,"90,000",25,"15,569,679","33,237,942",113.48,56,305,27,Who You Foolin,"180,138,523",3.0,3.5,2.5,3.0,12.0,1,4,3,3,4,14,1,34,78,"34,174,079","17,870,901,469","49,800","1,472,874,681",41.4159068919975
49,YNW Melly,Male,Hip-Hop/Rap,1-May-1999,2019,Melly vs. Melvin,"43,000",20,"18,602,045","8,897,370",-52.17,6,779,14,Suicidal,"553,589,593",4.0,3.0,3.0,4.0,14.0,1,3.5,4,4,4,15.5,1,14,6,"11,002,269","5,456,932,354","16,000","2,837,199,559",13.0400778895614
50,Rico Nasty,Female,Hip-Hop/Rap,7-May-1997,2020,Nightmare Vacation,"4,000",23,"905,873","3,606,922",298.17,0,590,1,Smack A Bitch,"136,713,997",3.0,3.0,3.0,3.0,12.0,1,3.5,2,2,2,9.5,0,1,0,"2,548,282","1,140,148,638","12,700","183,756,143",2.98961337956137
51,Latto,Female,Hip-Hop/Rap,22-Dec-1998,2020,Queen of da Souf,"14,300",21,"1,538,611","12,404,987",706.25,7,450,3,Big Energy,"306,932,684",3.5,3.0,3.0,3.5,13.0,1,4,4,3,4,15,1,5,8,"23,511,905","2,993,892,116","16,000","884,231,440",11.5682974132778
